flag_id,trip_id,driver_id,timestamp,elapsed_seconds,flag_type,severity,motion_score,audio_score,combined_score,explanation,context
SFLAG001,STRIP005,SDRV095,2024-02-06 15:54:15,1455.0,moderate_brake,low,0.98,0.98,0.98,Synthetic event: moderate_brake detected.,Motion: moderate | Audio: normal
SFLAG040,STRIP176,SDRV100,2024-02-06 18:45:10,911.0,harsh_braking,high,0.65,0.93,0.79,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: very_loud
SFLAG041,STRIP190,SDRV075,2024-02-06 20:59:32,273.0,audio_spike,high,0.75,0.39,0.57,Synthetic event: audio_spike detected.,Motion: other | Audio: very_loud
SFLAG042,STRIP168,SDRV110,2024-02-06 19:39:23,263.0,moderate_brake,high,0.78,0.67,0.73,Synthetic event: moderate_brake detected.,Motion: moderate | Audio: very_loud
SFLAG043,STRIP167,SDRV110,2024-02-06 17:25:39,1540.0,moderate_brake,low,0.52,0.56,0.54,Synthetic event: moderate_brake detected.,Motion: moderate | Audio: normal
SFLAG044,STRIP009,SDRV111,2024-02-06 18:03:47,827.0,audio_spike,low,0.99,0.43,0.71,Synthetic event: audio_spike detected.,Motion: other | Audio: normal
SFLAG045,STRIP024,SDRV159,2024-02-06 15:35:01,601.0,sustained_stress,high,0.55,0.65,0.6,Synthetic event: sustained_stress detected.,Motion: other | Audio: very_loud
SFLAG046,STRIP188,SDRV075,2024-02-06 07:52:19,439.0,sustained_stress,high,0.94,0.41,0.67,Synthetic event: sustained_stress detected.,Motion: other | Audio: very_loud
SFLAG047,STRIP098,SDRV122,2024-02-06 22:55:58,1559.0,audio_spike,high,0.37,0.73,0.55,Synthetic event: audio_spike detected.,Motion: other | Audio: very_loud
SFLAG048,STRIP097,SDRV122,2024-02-06 19:37:39,1959.0,audio_spike,medium,0.42,0.97,0.69,Synthetic event: audio_spike detected.,Motion: other | Audio: loud
SFLAG049,STRIP217,SDRV189,2024-02-06 19:32:40,761.0,sustained_stress,high,0.96,0.74,0.85,Synthetic event: sustained_stress detected.,Motion: other | Audio: very_loud
SFLAG050,STRIP122,SDRV065,2024-02-06 10:08:44,525.0,harsh_braking,low,0.43,0.44,0.43,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: normal
SFLAG051,STRIP015,SDRV092,2024-02-06 19:23:09,190.0,harsh_braking,low,0.4,0.28,0.34,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: normal
SFLAG052,STRIP164,SDRV117,2024-02-06 05:35:59,660.0,sustained_stress,low,0.86,0.31,0.58,Synthetic event: sustained_stress detected.,Motion: other | Audio: normal
SFLAG053,STRIP003,SDRV140,2024-02-06 13:39:02,242.0,audio_spike,high,0.75,0.36,0.55,Synthetic event: audio_spike detected.,Motion: other | Audio: very_loud
SFLAG054,STRIP044,SDRV118,2024-02-06 12:43:42,223.0,harsh_braking,medium,0.42,0.94,0.68,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: loud
SFLAG055,STRIP022,SDRV144,2024-02-06 17:45:32,1232.0,conflict_moment,low,0.55,0.72,0.64,Synthetic event: conflict_moment detected.,Motion: other | Audio: normal
SFLAG056,STRIP128,SDRV053,2024-02-06 07:22:43,1064.0,harsh_braking,high,0.77,0.75,0.76,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: very_loud
SFLAG057,STRIP112,SDRV109,2024-02-06 19:58:12,792.0,harsh_braking,medium,0.49,0.23,0.36,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: loud
SFLAG058,STRIP085,SDRV208,2024-02-06 12:30:01,601.0,conflict_moment,low,0.92,0.66,0.79,Synthetic event: conflict_moment detected.,Motion: other | Audio: normal
SFLAG059,STRIP186,SDRV056,2024-02-06 06:04:08,1448.0,conflict_moment,medium,0.99,0.33,0.66,Synthetic event: conflict_moment detected.,Motion: other | Audio: loud
SFLAG060,STRIP201,SDRV129,2024-02-06 07:37:27,747.0,audio_spike,medium,0.77,0.98,0.88,Synthetic event: audio_spike detected.,Motion: other | Audio: loud
SFLAG061,STRIP213,SDRV083,2024-02-06 19:49:34,1774.0,audio_spike,high,0.78,0.39,0.58,Synthetic event: audio_spike detected.,Motion: other | Audio: very_loud
SFLAG062,STRIP011,SDRV011,2024-02-06 10:08:22,1102.0,conflict_moment,high,0.37,0.82,0.59,Synthetic event: conflict_moment detected.,Motion: other | Audio: very_loud
SFLAG063,STRIP059,SDRV138,2024-02-06 10:08:39,1420.0,conflict_moment,low,0.57,0.7,0.64,Synthetic event: conflict_moment detected.,Motion: other | Audio: normal
SFLAG064,STRIP055,SDRV158,2024-02-06 20:13:10,490.0,audio_spike,low,0.61,0.45,0.53,Synthetic event: audio_spike detected.,Motion: other | Audio: normal
SFLAG065,STRIP146,SDRV113,2024-02-06 10:39:28,869.0,harsh_braking,low,0.96,0.95,0.95,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: normal
SFLAG066,STRIP171,SDRV107,2024-02-06 15:39:01,241.0,sustained_stress,medium,0.91,0.79,0.85,Synthetic event: sustained_stress detected.,Motion: other | Audio: loud
SFLAG067,STRIP070,SDRV081,2024-02-06 13:14:48,288.0,sustained_stress,medium,0.35,0.41,0.38,Synthetic event: sustained_stress detected.,Motion: other | Audio: loud
SFLAG068,STRIP012,SDRV079,2024-02-06 23:17:21,1642.0,moderate_brake,high,0.74,0.78,0.76,Synthetic event: moderate_brake detected.,Motion: moderate | Audio: very_loud
SFLAG069,STRIP020,SDRV027,2024-02-06 18:57:58,478.0,sustained_stress,medium,0.8,0.22,0.51,Synthetic event: sustained_stress detected.,Motion: other | Audio: loud
SFLAG070,STRIP072,SDRV143,2024-02-06 21:02:07,428.0,audio_spike,high,0.74,0.32,0.53,Synthetic event: audio_spike detected.,Motion: other | Audio: very_loud
SFLAG071,STRIP140,SDRV017,2024-02-06 07:01:23,1284.0,harsh_braking,low,0.46,0.72,0.59,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: normal
SFLAG072,STRIP162,SDRV073,2024-02-06 17:24:43,583.0,audio_spike,high,0.72,0.29,0.51,Synthetic event: audio_spike detected.,Motion: other | Audio: very_loud
SFLAG073,STRIP177,SDRV100,2024-02-06 18:10:30,30.0,conflict_moment,high,0.94,0.42,0.68,Synthetic event: conflict_moment detected.,Motion: other | Audio: very_loud
SFLAG074,STRIP203,SDRV060,2024-02-06 21:32:52,1672.0,harsh_braking,medium,1.0,0.37,0.69,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: loud
SFLAG075,STRIP081,SDRV066,2024-02-06 17:26:53,414.0,harsh_braking,high,0.76,0.97,0.86,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: very_loud
SFLAG076,STRIP208,SDRV169,2024-02-06 22:11:58,1319.0,harsh_braking,high,0.65,0.84,0.74,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: very_loud
SFLAG077,STRIP054,SDRV018,2024-02-06 22:04:53,293.0,conflict_moment,low,0.98,0.97,0.97,Synthetic event: conflict_moment detected.,Motion: other | Audio: normal
SFLAG078,STRIP037,SDRV041,2024-02-06 11:54:05,246.0,conflict_moment,medium,0.51,0.28,0.4,Synthetic event: conflict_moment detected.,Motion: other | Audio: loud
SFLAG079,STRIP191,SDRV078,2024-02-06 08:45:09,310.0,harsh_braking,high,0.87,0.5,0.69,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: very_loud
SFLAG080,STRIP152,SDRV096,2024-02-06 14:27:39,159.0,conflict_moment,low,0.54,0.99,0.77,Synthetic event: conflict_moment detected.,Motion: other | Audio: normal
SFLAG081,STRIP182,SDRV191,2024-02-06 18:35:06,907.0,moderate_brake,medium,0.59,0.33,0.46,Synthetic event: moderate_brake detected.,Motion: moderate | Audio: loud
SFLAG082,STRIP042,SDRV057,2024-02-06 14:12:36,1657.0,sustained_stress,high,0.87,0.43,0.65,Synthetic event: sustained_stress detected.,Motion: other | Audio: very_loud
SFLAG083,STRIP198,SDRV084,2024-02-06 22:11:28,88.0,sustained_stress,low,0.34,0.3,0.32,Synthetic event: sustained_stress detected.,Motion: other | Audio: normal
SFLAG084,STRIP100,SDRV179,2024-02-06 06:05:54,1254.0,conflict_moment,medium,0.95,0.6,0.77,Synthetic event: conflict_moment detected.,Motion: other | Audio: loud
SFLAG085,STRIP163,SDRV117,2024-02-06 20:11:00,961.0,conflict_moment,high,0.61,0.77,0.69,Synthetic event: conflict_moment detected.,Motion: other | Audio: very_loud
SFLAG086,STRIP099,SDRV179,2024-02-06 08:36:20,1581.0,moderate_brake,medium,0.42,0.49,0.45,Synthetic event: moderate_brake detected.,Motion: moderate | Audio: loud
SFLAG087,STRIP036,SDRV069,2024-02-06 11:41:50,110.0,conflict_moment,low,0.55,0.63,0.59,Synthetic event: conflict_moment detected.,Motion: other | Audio: normal
SFLAG088,STRIP036,SDRV069,2024-02-06 11:56:34,994.0,moderate_brake,low,1.0,0.58,0.79,Synthetic event: moderate_brake detected.,Motion: moderate | Audio: normal
SFLAG089,STRIP180,SDRV037,2024-02-06 19:12:57,778.0,harsh_braking,high,0.86,0.68,0.77,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: very_loud
SFLAG090,STRIP180,SDRV037,2024-02-06 19:24:28,1469.0,conflict_moment,high,0.92,0.53,0.73,Synthetic event: conflict_moment detected.,Motion: other | Audio: very_loud
SFLAG091,STRIP207,SDRV169,2024-02-06 13:07:57,1378.0,moderate_brake,low,0.59,0.32,0.45,Synthetic event: moderate_brake detected.,Motion: moderate | Audio: normal
SFLAG092,STRIP207,SDRV169,2024-02-06 13:08:56,1436.0,sustained_stress,low,0.37,0.21,0.29,Synthetic event: sustained_stress detected.,Motion: other | Audio: normal
SFLAG093,STRIP089,SDRV051,2024-02-06 09:04:15,255.0,audio_spike,low,0.45,0.79,0.62,Synthetic event: audio_spike detected.,Motion: other | Audio: normal
SFLAG094,STRIP089,SDRV051,2024-02-06 09:15:43,943.0,harsh_braking,high,0.52,0.6,0.56,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: very_loud
SFLAG095,STRIP014,SDRV200,2024-02-06 05:30:31,332.0,harsh_braking,medium,0.9,0.89,0.9,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: loud
SFLAG096,STRIP014,SDRV200,2024-02-06 05:57:37,1958.0,harsh_braking,medium,0.58,0.81,0.7,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: loud
SFLAG097,STRIP026,SDRV061,2024-02-06 13:40:14,14.0,conflict_moment,high,0.31,0.67,0.49,Synthetic event: conflict_moment detected.,Motion: other | Audio: very_loud
SFLAG098,STRIP026,SDRV061,2024-02-06 13:44:01,242.0,harsh_braking,medium,0.62,0.61,0.61,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: loud
SFLAG099,STRIP169,SDRV107,2024-02-06 20:50:11,12.0,audio_spike,low,0.8,0.55,0.68,Synthetic event: audio_spike detected.,Motion: other | Audio: normal
SFLAG100,STRIP169,SDRV107,2024-02-06 21:00:59,659.0,moderate_brake,high,0.81,0.39,0.6,Synthetic event: moderate_brake detected.,Motion: moderate | Audio: very_loud
SFLAG101,STRIP030,SDRV007,2024-02-06 14:05:35,1236.0,moderate_brake,high,0.45,0.39,0.42,Synthetic event: moderate_brake detected.,Motion: moderate | Audio: very_loud
SFLAG102,STRIP030,SDRV007,2024-02-06 14:13:27,1708.0,harsh_braking,high,0.74,0.86,0.8,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: very_loud
SFLAG103,STRIP108,SDRV174,2024-02-06 19:01:11,372.0,moderate_brake,low,0.91,0.74,0.82,Synthetic event: moderate_brake detected.,Motion: moderate | Audio: normal
SFLAG104,STRIP108,SDRV174,2024-02-06 19:04:58,599.0,sustained_stress,medium,0.61,0.59,0.6,Synthetic event: sustained_stress detected.,Motion: other | Audio: loud
SFLAG105,STRIP010,SDRV033,2024-02-06 05:37:21,441.0,conflict_moment,high,0.55,1.0,0.78,Synthetic event: conflict_moment detected.,Motion: other | Audio: very_loud
SFLAG106,STRIP010,SDRV033,2024-02-06 05:52:33,1354.0,moderate_brake,low,0.64,0.59,0.61,Synthetic event: moderate_brake detected.,Motion: moderate | Audio: normal
SFLAG107,STRIP178,SDRV037,2024-02-06 19:42:32,1052.0,audio_spike,high,0.86,0.56,0.71,Synthetic event: audio_spike detected.,Motion: other | Audio: very_loud
SFLAG108,STRIP178,SDRV037,2024-02-06 19:53:25,1705.0,audio_spike,medium,0.8,0.67,0.74,Synthetic event: audio_spike detected.,Motion: other | Audio: loud
SFLAG109,STRIP078,SDRV099,2024-02-06 05:04:25,265.0,moderate_brake,low,0.62,0.4,0.51,Synthetic event: moderate_brake detected.,Motion: moderate | Audio: normal
SFLAG110,STRIP078,SDRV099,2024-02-06 05:11:19,679.0,moderate_brake,high,0.94,0.47,0.7,Synthetic event: moderate_brake detected.,Motion: moderate | Audio: very_loud
SFLAG111,STRIP195,SDRV084,2024-02-06 10:59:55,896.0,audio_spike,medium,0.74,0.63,0.69,Synthetic event: audio_spike detected.,Motion: other | Audio: loud
SFLAG112,STRIP195,SDRV084,2024-02-06 11:11:39,1600.0,sustained_stress,medium,0.39,0.5,0.45,Synthetic event: sustained_stress detected.,Motion: other | Audio: loud
SFLAG113,STRIP079,SDRV049,2024-02-06 20:28:34,214.0,audio_spike,high,0.61,0.82,0.71,Synthetic event: audio_spike detected.,Motion: other | Audio: very_loud
SFLAG114,STRIP079,SDRV049,2024-02-06 20:47:25,1346.0,moderate_brake,low,0.45,0.33,0.39,Synthetic event: moderate_brake detected.,Motion: moderate | Audio: normal
SFLAG115,STRIP150,SDRV087,2024-02-06 19:38:00,780.0,audio_spike,low,0.8,0.54,0.67,Synthetic event: audio_spike detected.,Motion: other | Audio: normal
SFLAG116,STRIP150,SDRV087,2024-02-06 19:54:39,1779.0,audio_spike,medium,0.66,0.27,0.47,Synthetic event: audio_spike detected.,Motion: other | Audio: loud
SFLAG117,STRIP051,SDRV103,2024-02-06 20:08:39,1120.0,moderate_brake,high,0.5,0.67,0.58,Synthetic event: moderate_brake detected.,Motion: moderate | Audio: very_loud
SFLAG118,STRIP051,SDRV103,2024-02-06 20:17:34,1654.0,harsh_braking,medium,0.38,0.97,0.68,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: loud
SFLAG119,STRIP218,SDRV189,2024-02-06 15:06:07,367.0,moderate_brake,high,0.47,0.77,0.62,Synthetic event: moderate_brake detected.,Motion: moderate | Audio: very_loud
SFLAG120,STRIP218,SDRV189,2024-02-06 15:22:40,1361.0,harsh_braking,medium,0.84,0.74,0.79,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: loud
SFLAG121,STRIP139,SDRV017,2024-02-06 08:47:54,774.0,harsh_braking,high,0.36,0.46,0.41,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: very_loud
SFLAG122,STRIP139,SDRV017,2024-02-06 08:53:44,1125.0,sustained_stress,low,0.47,0.99,0.73,Synthetic event: sustained_stress detected.,Motion: other | Audio: normal
SFLAG123,STRIP215,SDRV083,2024-02-06 22:40:30,631.0,conflict_moment,high,0.78,0.37,0.57,Synthetic event: conflict_moment detected.,Motion: other | Audio: very_loud
SFLAG124,STRIP215,SDRV083,2024-02-06 22:49:46,1187.0,audio_spike,high,0.47,0.43,0.45,Synthetic event: audio_spike detected.,Motion: other | Audio: very_loud
SFLAG125,STRIP082,SDRV066,2024-02-06 15:33:12,492.0,sustained_stress,high,0.31,0.9,0.6,Synthetic event: sustained_stress detected.,Motion: other | Audio: very_loud
SFLAG126,STRIP082,SDRV066,2024-02-06 15:39:23,863.0,harsh_braking,medium,0.98,0.47,0.72,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: loud
SFLAG127,STRIP035,SDRV193,2024-02-06 14:40:11,12.0,harsh_braking,low,0.78,0.86,0.82,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: normal
SFLAG128,STRIP035,SDRV193,2024-02-06 14:49:28,569.0,audio_spike,low,0.4,0.33,0.36,Synthetic event: audio_spike detected.,Motion: other | Audio: normal
SFLAG129,STRIP101,SDRV167,2024-02-06 15:52:56,777.0,conflict_moment,high,0.33,0.7,0.52,Synthetic event: conflict_moment detected.,Motion: other | Audio: very_loud
SFLAG130,STRIP101,SDRV167,2024-02-06 15:56:35,996.0,audio_spike,medium,0.52,0.49,0.51,Synthetic event: audio_spike detected.,Motion: other | Audio: loud
SFLAG131,STRIP183,SDRV191,2024-02-06 18:36:09,970.0,moderate_brake,medium,0.58,0.96,0.77,Synthetic event: moderate_brake detected.,Motion: moderate | Audio: loud
SFLAG132,STRIP183,SDRV191,2024-02-06 18:37:01,1022.0,sustained_stress,low,0.58,0.82,0.7,Synthetic event: sustained_stress detected.,Motion: other | Audio: normal
SFLAG133,STRIP212,SDRV083,2024-02-06 19:35:00,900.0,harsh_braking,medium,0.94,0.27,0.6,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: loud
SFLAG134,STRIP212,SDRV083,2024-02-06 19:47:49,1669.0,moderate_brake,low,0.96,0.86,0.91,Synthetic event: moderate_brake detected.,Motion: moderate | Audio: normal
SFLAG135,STRIP127,SDRV053,2024-02-06 18:35:25,325.0,conflict_moment,medium,0.86,0.88,0.87,Synthetic event: conflict_moment detected.,Motion: other | Audio: loud
SFLAG136,STRIP127,SDRV053,2024-02-06 18:51:21,1282.0,moderate_brake,high,0.5,0.96,0.73,Synthetic event: moderate_brake detected.,Motion: moderate | Audio: very_loud
SFLAG137,STRIP147,SDRV136,2024-02-06 10:25:56,57.0,moderate_brake,medium,0.68,0.66,0.67,Synthetic event: moderate_brake detected.,Motion: moderate | Audio: loud
SFLAG138,STRIP147,SDRV136,2024-02-06 10:27:50,171.0,sustained_stress,medium,0.75,0.21,0.48,Synthetic event: sustained_stress detected.,Motion: other | Audio: loud
SFLAG139,STRIP211,SDRV083,2024-02-06 14:41:36,96.0,sustained_stress,low,0.4,0.21,0.3,Synthetic event: sustained_stress detected.,Motion: other | Audio: normal
SFLAG140,STRIP211,SDRV083,2024-02-06 15:14:34,2074.0,audio_spike,medium,0.7,0.95,0.82,Synthetic event: audio_spike detected.,Motion: other | Audio: loud
SFLAG141,STRIP049,SDRV181,2024-02-06 16:53:19,799.0,sustained_stress,low,0.31,0.63,0.47,Synthetic event: sustained_stress detected.,Motion: other | Audio: normal
SFLAG142,STRIP049,SDRV181,2024-02-06 16:56:27,987.0,conflict_moment,low,0.62,0.6,0.61,Synthetic event: conflict_moment detected.,Motion: other | Audio: normal
SFLAG143,STRIP056,SDRV166,2024-02-06 11:37:09,130.0,moderate_brake,high,0.65,0.81,0.73,Synthetic event: moderate_brake detected.,Motion: moderate | Audio: very_loud
SFLAG144,STRIP056,SDRV166,2024-02-06 11:55:31,1232.0,sustained_stress,low,0.64,0.32,0.48,Synthetic event: sustained_stress detected.,Motion: other | Audio: normal
SFLAG145,STRIP181,SDRV191,2024-02-06 22:53:47,228.0,moderate_brake,medium,0.91,0.69,0.8,Synthetic event: moderate_brake detected.,Motion: moderate | Audio: loud
SFLAG146,STRIP181,SDRV191,2024-02-06 23:04:15,856.0,conflict_moment,low,0.41,0.97,0.69,Synthetic event: conflict_moment detected.,Motion: other | Audio: normal
SFLAG147,STRIP088,SDRV001,2024-02-06 14:41:58,118.0,audio_spike,high,0.74,0.4,0.57,Synthetic event: audio_spike detected.,Motion: other | Audio: very_loud
SFLAG148,STRIP088,SDRV001,2024-02-06 14:53:59,840.0,sustained_stress,low,0.86,0.85,0.85,Synthetic event: sustained_stress detected.,Motion: other | Audio: normal
SFLAG149,STRIP075,SDRV149,2024-02-06 14:05:03,903.0,harsh_braking,high,0.62,0.8,0.71,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: very_loud
SFLAG150,STRIP075,SDRV149,2024-02-06 14:19:22,1762.0,harsh_braking,medium,0.39,0.64,0.52,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: loud
SFLAG151,STRIP160,SDRV073,2024-02-06 10:03:13,193.0,conflict_moment,low,0.59,0.88,0.73,Synthetic event: conflict_moment detected.,Motion: other | Audio: normal
SFLAG152,STRIP160,SDRV073,2024-02-06 10:19:39,1180.0,harsh_braking,high,0.9,0.28,0.59,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: very_loud
SFLAG153,STRIP107,SDRV174,2024-02-06 08:02:05,125.0,sustained_stress,high,0.91,0.3,0.6,Synthetic event: sustained_stress detected.,Motion: other | Audio: very_loud
